기준_날짜,미세먼지,초미세먼지,지점,지점명,평균기온(°C),일강수량(mm)
2024-01-29,39,29,108,서울,-0.4,
2024-01-30,52,38,108,서울,1.4,
2024-01-31,49,41,108,서울,4.7,
2024-02-01,83,64,108,서울,2.4,
2024-02-02,40,34,108,서울,3.1,
2024-02-03,27,40,108,서울,4.7,0
2024-02-04,22,20,108,서울,7.3,
2024-02-05,6,2,108,서울,2.7,3.9
2024-02-06,16,10,108,서울,1.2,0.2
2024-02-07,34,24,108,서울,0.6,0
2024-02-08,38,29,108,서울,0.6,
2024-02-09,33,30,108,서울,1.1,
2024-02-10,46,33,108,서울,1.7,
2024-02-11,69,33,108,서울,1,0
2024-02-12,64,42,108,서울,3.5,
2024-02-13,73,39,108,서울,8.2,
2024-02-14,50,23,108,서울,12.9,
2024-02-15,18,12,108,서울,4.5,10.9
2024-02-16,29,11,108,서울,2.3,
2024-02-17,36,28,108,서울,4.4,
2024-02-18,25,24,108,서울,6.2,17.1
2024-02-19,14,8,108,서울,9.1,8.9
2024-02-20,38,14,108,서울,4.3,2.6
2024-02-21,35,1,108,서울,1.9,17.8
2024-02-22,46,2,108,서울,0.2,8.8
2024-02-23,16,4,108,서울,1.8,0.4
2024-02-24,34,6,108,서울,2,2.3
2024-02-25,38,10,108,서울,2.8,1.8
2024-02-26,33,19,108,서울,3.8,
2024-02-27,46,7,108,서울,5.3,
2024-02-28,69,15,108,서울,6.4,
2024-02-29,64,32,108,서울,4.8,
2024-03-01,73,9,108,서울,-4.1,
2024-03-02,50,12,108,서울,-0.5,0
2024-03-03,18,59,108,서울,4,
2024-03-04,29,31,108,서울,5.4,
2024-03-05,36,21,108,서울,8,
2024-03-06,25,7,108,서울,6.2,
2024-03-07,29,16,108,서울,3.9,2.1
2024-03-08,43,20,108,서울,2.1,
2024-03-09,35,15,108,서울,2,
2024-03-10,30,13,108,서울,4.2,
2024-03-11,29,14,108,서울,6.2,
2024-03-12,27,21,108,서울,6.6,2.1
2024-03-13,46,22,108,서울,6.5,
2024-03-14,57,32,108,서울,8.5,
2024-03-15,39,26,108,서울,8.9,
2024-03-16,37,26,108,서울,10.9,
