대여소_ID,주소1,주소2,주소,분류,용도지역,,
ST-2857,서울특별시 강서구 방화대로 294 마곡더블유타워,0,서울 강서구 방화대로 294,상업지역,상업지역,,
ST-2052,서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩,0,서울 강서구 마곡서로 101,주거지역,주거지역,,
ST-2551,서울특별시 강서구 화곡로 206 삼영빌딩,0,서울 강서구 화곡로 206,주거지역,주거지역,,
ST-532,서울특별시 강서구 등촌로 137 대림아파트,0,서울 강서구 등촌로 137,주거지역,주거지역,,
ST-1711,서울특별시 강서구 마곡중앙8로3길 21,케이티엔에프빌딩 인근,서울 강서구 마곡중앙8로3길 21,상업지역,상업지역,,
ST-2044,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,0,서울 강서구 마곡중앙10로 10,상업지역,상업지역,,
ST-2627,서울특별시 강서구 하늘길 112,0,서울 강서구 하늘길 112,주거지역,주거지역,,
ST-3128,서울특별시 강서구 마곡중앙10로 70 LG사이언스파크,0,서울 강서구 마곡중앙10로 70,상업지역,상업지역,,
ST-3118,서울특별시 강서구 허준로 217 가양테크노타운,0,서울 강서구 허준로 217,주거지역,주거지역,,
ST-1713,서울특별시 강서구 마곡동로 161,서울식물원(문화센터) 건너편,서울 강서구 마곡동로 161,상업지역,상업지역,,
ST-2556,서울특별시 강서구 내발산동 755,0,서울 강서구 내발산동 755,주거지역,주거지역,,
ST-2032,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,0,서울 강서구 마곡중앙로 201,상업지역,상업지역,,
ST-2488,서울특별시 강서구 금낭화로26가길 130,0,서울 강서구 금낭화로26가길 130, , ,,
ST-3259,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,0,서울 강서구 마곡중앙10로 30,상업지역,상업지역,,
ST-3276,서울특별시 강서구 화곡동 1089-50,0,서울 강서구 화곡동 1089-50,주거지역,주거지역,,
ST-3251,서울특별시 강서구 마곡중앙10로 70 LG사이언스파크,0,서울 강서구 마곡중앙10로 70,상업지역,상업지역,,
ST-2494,서울특별시 강서구 염창동 223-4번지,0,서울 강서구 염창동 223-4,상업지역,상업지역,,
ST-3261,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,0,서울 강서구 마곡중앙10로 10,상업지역,상업지역,,
ST-3281,서울특별시 강서구 양천로57길 36 가양5단지아파트,0,서울 강서구 양천로57길 36,주거지역,주거지역,,
ST-3263,서울특별시 강서구 양천로 201,0,서울 강서구 양천로 201, , ,,
ST-3260,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,0,서울 강서구 마곡중앙10로 30,상업지역,상업지역,,
ST-3284,서울특별시 강서구 남부순환로 222 서울자동차학원,0,서울 강서구 남부순환로 222, ,주거지역,,
