,대여소_ID,출근대여량,출근반납량,대여-반납량_출근,차이절대값_출근,총이용량_출근,퇴근대여량,퇴근반납량,대여-반납량_퇴근,차이절대값_퇴근,총이용량_퇴근,출퇴근_총이용량,최종용도
174,ST-523,1171,481,690,690,1652,2918,2123,795,795,5041,6693,주거
175,ST-524,963,385,578,578,1348,1439,1853,-414,414,3292,4640,주거
176,ST-525,1829,1752,77,77,3581,3317,3497,-180,180,6814,10395,주거
177,ST-526,556,531,25,25,1087,854,625,229,229,1479,2566,주거
178,ST-528,3026,3258,-232,232,6284,2528,2612,-84,84,5140,11424,주거
179,ST-530,3693,1516,2177,2177,5209,1827,2695,-868,868,4522,9731,주거
180,ST-531,677,161,516,516,838,452,483,-31,31,935,1773,주거
181,ST-532,358,102,256,256,460,221,246,-25,25,467,927,주거
182,ST-533,789,177,612,612,966,465,1061,-596,596,1526,2492,주거
183,ST-534,223,345,-122,122,568,860,958,-98,98,1818,2386,주거
184,ST-535,363,266,97,97,629,639,843,-204,204,1482,2111,주거
185,ST-536,137,92,45,45,229,218,414,-196,196,632,861,주거
186,ST-538,2754,256,2498,2498,3010,1010,1911,-901,901,2921,5931,주거
187,ST-824,3974,1880,2094,2094,5854,4373,5912,-1539,1539,10285,16139,주거
188,ST-828,2632,1403,1229,1229,4035,1439,2457,-1018,1018,3896,7931,주거
189,ST-829,1332,943,389,389,2275,1792,1846,-54,54,3638,5913,주거
190,ST-831,2756,1529,1227,1227,4285,3970,4425,-455,455,8395,12680,주거
191,ST-834,3297,4316,-1019,1019,7613,6179,6293,-114,114,12472,20085,주거
192,ST-835,4264,2058,2206,2206,6322,5461,7917,-2456,2456,13378,19700,주거
193,ST-975,2954,2508,446,446,5462,7355,8050,-695,695,15405,20867,주거
194,ST-3284,0,0,0,0,0,10,4,6,6,14,14,주거
