,대여소_ID,지구 분류(출근),지구 분류(퇴근),일치여부,강서_데이터_시작(출근),강서_데이터_종료(출근),차이(출근),차이 절대값(출근),총 이용량(시작 + 종료)(출근),강서_데이터_시작(퇴근),강서_데이터_종료(퇴근),차이(퇴근),차이절대값(퇴근),총 이용량(시작 + 종료)(퇴근)
132,ST-2944,주거,주거,일치,2030,1591,439,439,3621,1649,2082,-433,433,3731
133,ST-2945,업무,업무,일치,1288,6203,-4915,4915,7491,5119,2260,2859,2859,7379
134,ST-2946,주거,주거,일치,1251,311,940,940,1562,718,1402,-684,684,2120
135,ST-2947,주거,업무,불일치,711,450,261,261,1161,714,621,93,93,1335
136,ST-2965,주거,주거,일치,6326,1047,5279,5279,7373,2299,5716,-3417,3417,8015
137,ST-2992,주거,주거,일치,1109,527,582,582,1636,1805,1995,-190,190,3800
138,ST-2993,업무,업무,일치,2732,3135,-403,403,5867,5452,5370,82,82,10822
139,ST-2994,주거,주거,일치,1220,916,304,304,2136,2130,2350,-220,220,4480
140,ST-3031,업무,업무,일치,382,3674,-3292,3292,4056,3386,354,3032,3032,3740
141,ST-3068,업무,업무,일치,1956,2095,-139,139,4051,2652,2207,445,445,4859
142,ST-3084,업무,업무,일치,3343,4409,-1066,1066,7752,4857,4195,662,662,9052
143,ST-3094,업무,업무,일치,3196,9451,-6255,6255,12647,8805,6266,2539,2539,15071
144,ST-3100,주거,업무,불일치,1880,1398,482,482,3278,2559,2416,143,143,4975
145,ST-3118,업무,업무,일치,266,2574,-2308,2308,2840,1528,413,1115,1115,1941
146,ST-3125,주거,주거,일치,856,469,387,387,1325,1797,2004,-207,207,3801
147,ST-3128,업무,업무,일치,587,9877,-9290,9290,10464,6822,728,6094,6094,7550
148,ST-3129,주거,주거,일치,4036,919,3117,3117,4955,2331,4263,-1932,1932,6594
149,ST-3137,업무,업무,일치,234,3286,-3052,3052,3520,2302,247,2055,2055,2549
150,ST-3145,업무,업무,일치,357,3069,-2712,2712,3426,4211,2007,2204,2204,6218
151,ST-3183,주거,주거,일치,201,67,134,134,268,112,272,-160,160,384
152,ST-3226,주거,주거,일치,1888,1638,250,250,3526,3859,4070,-211,211,7929
153,ST-3251,업무,업무,일치,726,10118,-9392,9392,10844,6301,409,5892,5892,6710
154,ST-3259,업무,업무,일치,122,1761,-1639,1639,1883,1454,194,1260,1260,1648
155,ST-3260,업무,업무,일치,96,2781,-2685,2685,2877,2191,281,1910,1910,2472
156,ST-3261,업무,업무,일치,675,1560,-885,885,2235,957,136,821,821,1093
157,ST-3263,업무,업무,일치,31,507,-476,476,538,380,78,302,302,458
158,ST-3276,주거,주거,일치,118,60,58,58,178,170,261,-91,91,431
159,ST-3281,주거,주거,일치,58,38,20,20,96,43,58,-15,15,101
160,ST-3284,NA,NA,NA,NA,NA,NA,NA,NA,10,4,6,6,14
161,ST-507,주거,주거,일치,397,321,76,76,718,410,429,-19,19,839
162,ST-508,업무,주거,불일치,2632,2816,-184,184,5448,3697,4412,-715,715,8109
163,ST-509,주거,업무,불일치,338,335,3,3,673,520,423,97,97,943
164,ST-510,주거,주거,일치,2616,636,1980,1980,3252,1642,3393,-1751,1751,5035
165,ST-511,주거,주거,일치,1199,561,638,638,1760,1052,1744,-692,692,2796
166,ST-512,주거,주거,일치,2568,926,1642,1642,3494,3281,4308,-1027,1027,7589
167,ST-513,업무,주거,불일치,3735,3889,-154,154,7624,7204,7787,-583,583,14991
168,ST-514,주거,주거,일치,3893,796,3097,3097,4689,2616,5080,-2464,2464,7696
169,ST-516,업무,업무,일치,3021,4881,-1860,1860,7902,5395,4504,891,891,9899
170,ST-517,주거,주거,일치,1905,926,979,979,2831,2093,2405,-312,312,4498
171,ST-518,주거,주거,일치,2441,537,1904,1904,2978,1795,2920,-1125,1125,4715
172,ST-519,주거,업무,불일치,982,953,29,29,1935,1742,1707,35,35,3449
173,ST-520,업무,주거,불일치,484,1056,-572,572,1540,2657,2906,-249,249,5563
174,ST-522,업무,업무,일치,3052,3666,-614,614,6718,8082,7214,868,868,15296
175,ST-523,주거,업무,불일치,1224,475,749,749,1699,3063,2178,885,885,5241
176,ST-524,주거,주거,일치,984,381,603,603,1365,1514,1894,-380,380,3408
177,ST-525,주거,주거,일치,1834,1808,26,26,3642,3369,3526,-157,157,6895
178,ST-526,주거,업무,불일치,570,509,61,61,1079,829,639,190,190,1468
179,ST-528,업무,주거,불일치,3003,3405,-402,402,6408,2516,2708,-192,192,5224
180,ST-530,주거,주거,일치,3721,1588,2133,2133,5309,1870,2753,-883,883,4623
181,ST-531,주거,업무,불일치,787,176,611,611,963,484,476,8,8,960
182,ST-532,주거,주거,일치,385,116,269,269,501,242,257,-15,15,499
183,ST-533,주거,주거,일치,801,194,607,607,995,494,1080,-586,586,1574
184,ST-534,업무,주거,불일치,252,356,-104,104,608,884,960,-76,76,1844
185,ST-535,주거,주거,일치,366,279,87,87,645,660,855,-195,195,1515
186,ST-536,주거,주거,일치,154,84,70,70,238,215,418,-203,203,633
187,ST-538,주거,주거,일치,2833,267,2566,2566,3100,1045,1916,-871,871,2961
188,ST-824,주거,주거,일치,3980,1911,2069,2069,5891,4450,6099,-1649,1649,10549
189,ST-828,주거,주거,일치,2680,1465,1215,1215,4145,1469,2507,-1038,1038,3976
190,ST-829,주거,업무,불일치,1344,1005,339,339,2349,1956,1923,33,33,3879
191,ST-831,주거,주거,일치,2732,1538,1194,1194,4270,4079,4576,-497,497,8655
192,ST-834,업무,주거,불일치,3344,4368,-1024,1024,7712,6339,6460,-121,121,12799
193,ST-835,주거,주거,일치,4274,2164,2110,2110,6438,5497,7926,-2429,2429,13423
194,ST-975,주거,주거,일치,2979,2504,475,475,5483,7587,8311,-724,724,15898
