,대여소_ID,주소1,주소2,위도,경도,isin강서,주소,용도지역_1,용도지역_2,용도지역_3,용도지역_4
40,ST-2044,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,,37.563927,126.830643,강서,서울 강서구 마곡중앙10로 10,자연녹지지역,도시지역,준공업지역,중요시설물보호지구(공항)
41,ST-2043,서울특별시 강서구 마곡동 775-3,,37.567223,126.834389,강서,서울 강서구 마곡동 775-3,도시관리계획 입안중,자연녹지지역,도시지역,일반상업지역
42,ST-2042,서울특별시 강서구 마곡동로 161 서울식물원,,37.568836,126.835632,강서,서울 강서구 마곡동로 161,도시관리계획 입안중,자연녹지지역,도시지역,준공업지역
43,ST-2041,서울특별시 강서구 마곡중앙8로3길 79,,37.568485,126.83857,강서,서울 강서구 마곡중앙8로3길 79,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역
44,ST-2040,서울특별시 강서구 마곡동 789-10,,37.560894,126.836693,강서,서울 강서구 마곡동 789-10,도시지역,일반상업지역,준공업지역,준주거지역
45,ST-2038,서울특별시 강서구 등촌동 709,,37.561882,126.839157,강서,서울 강서구 등촌동 709,제3종일반주거지역,도시관리계획 입안중,도시지역,준공업지역
46,ST-2037,서울특별시 강서구 마곡동 727-1243,,37.563206,126.839363,강서,서울 강서구 마곡동 727-1243,,,,
47,ST-2036,서울특별시 강서구 공항대로 195 힐스테이트에코동익,,37.559658,126.829605,강서,서울 강서구 공항대로 195,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역
48,ST-2035,서울특별시 강서구 마곡중앙8로 32 스페이스K 서울,,37.561211,126.830345,강서,서울 강서구 마곡중앙8로 32,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역
49,ST-2034,서울특별시 강서구 마곡동 806-5,,37.555191,126.831467,강서,서울 강서구 마곡동 806-5,,,,
50,ST-2033,서울특별시 강서구 마곡중앙8로 71 엘지사이언스파크,,37.561337,126.8339,강서,서울 강서구 마곡중앙8로 71,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역
51,ST-2032,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,,37.570942,126.828316,강서,서울 강서구 마곡중앙로 201,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역
52,ST-2031,서울특별시 강서구 마곡중앙5로 2 마곡나루역(9호선),,37.566925,126.827438,강서,서울 강서구 마곡중앙5로 2,제3종일반주거지역,도시관리계획 입안중,도시지역,일반상업지역
53,ST-2030,서울특별시 강서구 강서로47길 108 마곡수명산파크1단지아파트,,37.553352,126.831047,강서,서울 강서구 강서로47길 108,제3종일반주거지역,도시지역,중요시설물보호지구(공항),제1종지구단위계획구역
54,ST-2029,서울특별시 강서구 화곡동 19-2,,37.548534,126.846672,강서,서울 강서구 화곡동 19-2,제3종일반주거지역,제2종일반주거지역,도시지역,건축선
55,ST-2028,서울특별시 강서구 가로공원로 240,,37.538357,126.842361,강서,서울 강서구 가로공원로 240,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항)
56,ST-2027,서울특별시 강서구 가로공원로 189 가로공원로 지하공영주차장,,37.537361,126.837448,강서,서울 강서구 가로공원로 189,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항)
57,ST-2026,서울특별시 강서구 강서로 515 라이품,,37.57132,126.841667,강서,서울 강서구 강서로 515,제2종일반주거지역,도시지역,중요시설물보호지구(공항),제1종지구단위계획구역
58,ST-2025,서울특별시 강서구 가양동 1459-11,,37.564587,126.856918,강서,서울 강서구 가양동 1459-11,제3종일반주거지역,도시지역,자연녹지지역,중요시설물보호지구(공항)
59,ST-2024,서울특별시 강서구 가양동 18-23,,37.564682,126.848907,강서,서울 강서구 가양동 18-23,도시지역,준공업지역,건축선,중요시설물보호지구(공항)
60,ST-2023,서울특별시 강서구 가양동 1458-13,,37.57037,126.844414,강서,서울 강서구 가양동 1458-13,제3종일반주거지역,제2종일반주거지역,도시지역,중요시설물보호지구(공항)
61,ST-2022,서울특별시 강서구 방화동 813-18,,37.576317,126.816498,강서,서울 강서구 방화동 813-18,제3종일반주거지역,도시지역,제2종일반주거지역,중요시설물보호지구(공항)
62,ST-2021,서울특별시 강서구 양천로 431 홈플러스가양점,,37.564404,126.84922,강서,서울 강서구 양천로 431,제3종일반주거지역,제2종일반주거지역,도시지역,준공업지역
63,ST-2020,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥,,37.558521,126.854012,강서,서울 강서구 화곡로 398,도시지역,준공업지역,건축선,중요시설물보호지구(공항)
