,대여소_ID,주소1,주소2,주소,분류,용도지역,
78,ST-2885,서울특별시 강서구 마곡동 799,,서울 강서구 마곡동 799,상업지역,상업지역,
79,ST-2884,서울특별시 강서구 마곡동 799,,서울 강서구 마곡동 799,상업지역,상업지역,
80,ST-2883,서울특별시 강서구 방화동 849-2,,서울 강서구 방화동 849-2,주거지역,주거지역,
81,ST-2871,서울특별시 강서구 마곡동 798,,서울 강서구 마곡동 798,상업지역,상업지역,
82,ST-2858,서울특별시 강서구 마곡서1로 48,,서울 강서구 마곡서1로 48,주거지역,주거지역,
83,ST-2857,서울특별시 강서구 방화대로 294 마곡더블유타워,,서울 강서구 방화대로 294,상업지역,상업지역,
84,ST-2832,서울특별시 강서구 마곡중앙로 33 마곡엠밸리14단지,,서울 강서구 마곡중앙로 33,주거지역,주거지역,
85,ST-2831,서울특별시 강서구 공항대로 103,,서울 강서구 마곡동 747,주거지역,주거지역,
86,ST-2790,서울특별시 강서구 마곡동 780-8,,서울 강서구 마곡동 780-8,상업지역,상업지역,
87,ST-2789,서울특별시 강서구 마곡동 744-2,,서울 강서구 마곡동 744-2, ,주거지역,
88,ST-2752,서울특별시 강서구 남부순환로 205,,서울 강서구 남부순환로 205,주거지역,주거지역,
89,ST-2627,서울특별시 강서구 하늘길 112,,서울 강서구 하늘길 112,주거지역,주거지역,
90,ST-2613,서울특별시 강서구 공항대로 308,,서울 강서구 공항대로 308-7,주거지역,주거지역,
91,ST-2612,서울특별시 강서구 양천로452,,서울 강서구 양천로 452,상업지역,상업지역,
92,ST-2611,서울특별시 강서구 초원로16길 3-9 안성빌라,,서울 강서구 초원로16길 3-8,주거지역,주거지역,
93,ST-2569,서울특별시 강서구 마곡동 769-4,,서울 강서구 마곡동 769-4, ,상업지역,
94,ST-2558,서울특별시 강서구 강서로 242 강서힐스테이트,,서울 강서구 강서로 242,주거지역,주거지역,
95,ST-2557,서울특별시 강서구 화곡로 347,,서울 강서구 화곡로 347,주거지역,주거지역,
96,ST-2556,서울특별시 강서구 내발산동 755,,서울 강서구 내발산동 755,주거지역,주거지역,
97,ST-2555,서울특별시 강서구 공항동 34-69,,서울 강서구 공항동 34-69,주거지역,주거지역,
98,ST-2554,서울특별시 강서구 공항대로 49-2 공항신성빌딩,,서울 강서구 공항대로 49-2,주거지역,주거지역,
99,ST-2553,서울특별시 강서구 염창동 119,,서울 강서구 염창동 119,상업지역,상업지역,
100,ST-2552,서울특별시 강서구 양천로 400-12 더리브골드타워,,서울 강서구 양천로 400-12,상업지역,상업지역,
101,ST-2551,서울특별시 강서구 화곡로 206 삼영빌딩,,서울 강서구 화곡로 206,주거지역,주거지역,
102,ST-2550,서울특별시 강서구 양천로 559 가양이마트,,서울 강서구 양천로 559,주거지역,주거지역,
103,ST-2540,서울특별시 강서구 강서로 191 화평빌딩,강서로191,서울 강서구 강서로 191,주거지역,주거지역,
